time,cont,conterr
1.5205147337603258,-0.344827586206899,0.025
1.5206142076468847,-0.8571428571428572,0.029
1.5289837739628074,-0.29885057471263643,0.025
1.530149962487895,-0.883415435139582,0.018
1.5350041083473318,-0.9753694581280836,0.017
1.536180701564053,-0.7389162561576306,0.018
1.5397848040362705,-0.8768472906403948,0.022
1.5421288072505224,-0.929392446633821,0.02
1.548175047878777,-0.8374384236453194,0.02
1.5504591090411917,-0.8702791461412311,0.014
1.554072658445984,-0.9162561576354704,0.021
1.555313836268764,-0.929392446633821,0.021
1.5625001961555633,-0.6535303776683159,0.055
1.5648925799872107,-0.46305418719212543,0.019
1.566043524680098,-0.8308702791461557,0.027
1.5732426866529088,-0.2857142857142858,0.021
1.5768318953125027,-0.9031198686371196,0.015
1.5792427738431392,-0.39737274220032526,0.019
1.5804338676998109,-0.6009852216748897,0.02
1.5828270186976598,-0.6600985221675029,0.017
1.5876027673632827,-0.929392446633821,0.025
1.9209550002555833,-1.0016420361248084,0.022
1.923357143879783,-1.8423645320197213,0.018
1.9340954916796314,-1.5205254515599302,0.018
1.9352911309960539,-1.7307060755336585,0.02
1.9437216978134275,-1.6453201970443438,0.02
1.9569245178954118,-1.2709359605911499,0.013
1.9629243185970209,-1.2183908045977003,0.023
1.964098990302145,-1.5139573070607666,0.051
1.967716284436971,-1.422003284072265,0.025
1.96890853743382,-1.1592775041050871,0.013
1.9701143824581444,-1.2840722495895007,0.019
1.9713110670385157,-1.264367816091963,0.015
1.9749101050150877,-1.2052545155993495,0.012
1.976102947770963,-1.5008210180624157,0.038
1.9880865501627376,-1.034482758620697,0.023
1.9891882607658178,-1.0082101806239723,0.014
1.9927768604872411,-0.8243021346469688,0.015
1.9963787717409889,-1.2775041050903138,0.02
2.0,-0.889983579638769,0.021
