#Table1
specobjid,ra,dec,plate,mjd,fiberid,z,h_beta_flux
3097508769706305536,226.03529,14.523144,2751,54243,575,0.1180205,1935.271
351456446254180352,230.5157,0.19117172,312,51689,639,0.2399111,307.7378
1077629187591792640,194.7817,59.747217,957,52398,520,0.2399261,118.7445
1079790827670104064,201.07607,58.819914,959,52411,192,0.1921499,199.6283
1080952187061823488,203.1581,59.51494,960,52425,321,0.1710412,153.4838
2388207220501276672,211.99047,32.535937,2121,54180,631,0.2565132,164.8087
2389172316799002624,211.37717,28.456825,2122,54178,46,0.2514291,215.3567
557412021583243264,191.81382,67.824763,495,51988,333,0.2736361,228.6028
559700380175329280,206.08696,66.621559,497,51989,466,0.1277341,2236.087
1452483493463353344,222.4404,42.378666,1290,52734,264,0.2627973,384.6723
2019916735242594304,195.26462,6.9532612,1794,54504,190,0.2318723,462.8033
2021019545455585280,198.01962,6.6854458,1795,54507,106,0.2418267,655.4658
2019955493027473408,194.41389,8.1588068,1794,54504,331,0.2724296,725.9919
2233952873417304064,189.77188,41.445637,1984,53433,609,0.178252,448.1307
2267683416709294080,207.08974,38.563637,2014,53460,440,0.2473611,574.8809
2411757935404279808,220.76403,26.058299,2142,54208,292,0.2570201,112.5764
2411814835131017216,221.76198,27.629647,2142,54208,499,0.2240888,131.6528
2411848370235664384,222.87641,27.33852,2142,54208,621,0.2375643,71.18325
2997226166823184384,194.53106,23.489345,2662,54505,293,0.2583058,541.0374
3119983891654404096,211.0299,21.556014,2771,54527,419,0.2610683,1618.641
2996073878637275136,192.92617,24.076479,2661,54505,197,0.1883969,331.5082
1646083308200683520,201.32559,41.169364,1462,53112,64,0.2133427,212.0715
1550462629183514624,205.15922,40.611316,1377,53050,358,0.1610482,2023.652
1551533553693517824,209.33116,39.679259,1378,53061,158,0.2654042,114.8639
1557250465324886016,222.10458,35.996292,1383,53116,476,0.1133184,1849.03
1648424717859710976,202.71351,41.482825,1464,53091,390,0.1815409,1187.199
1648468698324822016,204.48093,41.150111,1464,53091,550,0.230995,154.1145
1550516505253275648,206.95824,40.760286,1377,53050,554,0.1604147,493.3671
1550505510136997888,206.95028,40.775742,1377,53050,514,0.2707613,91.76868
1849999834719741952,213.69166,37.033912,1643,53143,532,0.2590016,351.6052
1558325512902830080,223.44042,34.555632,1384,53121,291,0.2095468,431.3989
379436548447299584,193.96887,-2.8938136,337,51997,30,0.2955231,126.67
2045769816068876288,229.43231,7.0226812,1817,53851,35,0.2825226,497.5895
2028924473868052480,203.76098,9.7235453,1802,53885,192,0.1909368,529.3924
2029006662362228736,204.05125,9.7963404,1802,53885,491,0.2478844,49.07101
2036918471597516800,212.72266,9.174159,1809,53792,602,0.17813,2506.536
2042540012473444352,223.64313,8.0602028,1814,54555,573,0.129768,1777.444
2024480797053970432,199.40805,10.4077,1798,53851,410,0.2800465,48.78432
2031297494855477248,206.9706,10.092184,1804,53886,633,0.2801969,135.7899
2037999566439081984,213.16348,9.5134455,1810,53794,439,0.2848062,483.3466
2997192906596444160,195.40194,24.359458,2662,54505,172,0.2493957,312.7607
3134508165412972544,211.59122,22.396265,2784,54529,10,0.09831072,4170.931
2999408147967272960,202.08503,24.157621,2664,54524,39,0.2226322,1267.704
3134652476314118144,210.81633,22.979261,2784,54529,535,0.1600988,354.0004
3135768480750528512,212.67293,22.560304,2785,54537,499,0.1724894,571.5805
3134637632907143168,210.44595,23.403692,2784,54529,481,0.214991,203.1797
952544072042571776,190.65991,4.9379185,846,52407,119,0.2334552,155.7205
689193439501248512,229.00168,57.404361,612,52079,519,0.2042243,151.8444
690203895149914112,229.8403,59.13992,613,52345,99,0.07809116,5256.383
677797825995630592,199.2403,64.302889,602,52072,22,0.2730165,113.0889
1032465373124913152,215.65822,-2.948679,917,52400,55,0.2814984,70.19965
1038090749926729728,227.58856,-2.0674332,922,52426,40,0.2682625,144.7218
656544540823414784,213.98686,5.3415448,583,52055,527,0.1263514,538.2548
1497603054097164288,229.20441,49.502521,1330,52822,568,0.2367526,152.3552
1651708409738717184,212.03416,43.054602,1467,53115,48,0.2585572,959.7911
1642749863907059712,196.46464,46.089639,1459,53117,225,0.2251981,141.1624
1644943938437539840,200.2535,45.684577,1461,53062,15,0.297337,103.6456
1909593364492216320,195.71049,11.307756,1696,53116,244,0.2033559,1108.102
1919695964487051264,212.93848,10.503241,1705,53848,133,0.2870272,173.1083
1928671827308079104,223.49888,9.2620498,1713,53827,19,0.279006,195.2866
2365548204595898368,205.0125,36.50442,2101,53858,118,0.2842707,81.6624
2288983156231006208,208.29427,35.827394,2033,53476,104,0.1401217,589.8008
2289095306417039360,208.35885,36.34707,2033,53476,512,0.2848447,3167.782
2069516786885224448,209.58208,36.067127,1838,53467,410,0.2799086,223.9284
2414008353480009728,221.35517,21.753131,2144,53770,287,0.2978118,334.8038
