C.D.S.  -  SIMBAD4 rel 1.8  -  2024.05.31CEST08:36:27

2009MNRAS.398.1905W2009MNRAS.398.1905W
--------------------------------------

2009MNRAS.398.1905W
10.1111/j.1365-2966.2009.15127.x

Mon. Not. R. Astron. Soc., 398, 1905-1914 (2009/October-1)
The black hole mass, Eddington ratio and M_BH_-{sigma}_[Oiii]_relation in young
radio galaxies.
WU Q.

-Files: (abstract)
-Simbad objects: 65

Number of objects : 65

# ; obj tags ;obj count;    raw id    ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag G  ;Mag I ;  Mag J  ;  Mag H  ;  Mag K  ;  Mag u  ;  Mag g  ;  Mag r  ;  Mag i  ;  Mag z  ;  spec. type   ;#bib;#not
--;----------;---------;--------------;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;------;---------;---------;---------;---------;---------;---------;---------;---------;---------------;----;----
58;d         ;        1;B 2126-158    ;QSO B2126-15                       ;Bla;21 29 12.17589329 -15 38 41.0419083    ;     ~   ;17.61    ;17.3     ;17.3     ;17.0243  ;     ~;15.429   ;14.923   ;14.228   ;     ~   ;17.3614  ;16.9752  ;16.8196  ;16.7512  ;~              ; 505;   1
59;d         ;        1;B 2134+004    ;QSO B2134+0028                     ;QSO;21 36 38.58632232 +00 41 54.2128562    ;     ~   ;17.30    ;17.08    ;17.02    ;16.579674;     ~;15.528   ;15.148   ;14.408   ;16.975   ;16.900   ;16.836   ;16.598   ;16.445   ;~              ; 562;   2
60;d         ;        1;4C 14.82      ;2MASX J22502534+1419519            ;Sy1;22 50 25.3475290512 +14 19 52.095751140;     ~   ;17.28    ;16.97    ;17.243   ;16.806557;     ~;14.758   ;14.379   ;13.393   ;17.129   ;16.976   ;16.692   ;16.521   ;16.484   ;~              ; 206;   1
61;d         ;        1;3C 454        ;BWE 2249+1832                      ;QSO;22 51 34.7277468096 +18 48 40.087264428;     ~   ;18.52    ;18.4     ;     ~   ;18.312794;     ~;     ~   ;     ~   ;     ~   ;18.5650  ;18.5042  ;18.4715  ;18.1257  ;18.0070  ;~              ; 227;   2
62;d         ;        1;3C 455        ;3C 455.0                           ;Sy2;22 55 03.8 +13 13 34                   ;     ~   ;19.535   ;19.590   ;19.190   ;     ~   ;     ~;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ; 194;   2
63;d         ;        1;3C 459        ;ICRF J231635.1+040518              ;Sy2;23 16 35.1933566880 +04 05 18.297101076;     ~   ;17.54    ;16.68    ;17.220   ;18.751303;     ~;     ~   ;     ~   ;13.991   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ; 295;   1
64;d         ;        1;2342+821      ;ICRF J234403.7+822640              ;Sy2;23 44 03.8302221504 +82 26 40.345410408;     ~   ;21.769   ;20.5     ;20.220   ;20.495863;     ~;     ~   ;     ~   ;15.850   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;  98;   1
65;d         ;        1;B 2352+4933   ;6C 235239+493337                   ;BLL;23 55 09.45814429 +49 50 08.3394994    ;     ~   ;21.101   ;     ~   ;18.400   ;21.130985;     ~;     ~   ;     ~   ;15.112   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ; 267;   1
================================================================================

