#Table1
z,snmedian_g,oiii_5007_flux,oiii_5007_eqw,h_beta_flux,h_beta_eqw,h_gamma_flux,h_gamma_eqw,sigma_balmer,e_bv_sfd
0.05542276,35.31345,53.83129,-0.6963661,41.31384,-0.4717567,-6.257751,0.1186674,500,0.01054991
0.1743191,42.52341,2595.664,-26.08261,3329.567,-17.07933,1574.868,-9.529902,500,0.04324507
0.1490557,36.40572,545.1528,-10.0706,1958.264,-20.19644,942.7999,-11.76659,500,0.04924946
0.07063182,41.53558,15.33456,-0.3747416,-39.59343,0.4712973,-27.31274,0.4659441,500,0.01452904
0.05480479,39.35858,43.77386,-0.4562659,35.88597,-0.3188329,-2.72559,0.06313526,500,0.02486286
0.05767728,40.73911,81.40005,-1.167375,7.54583,-0.239673,-0.6218255,-0.03024171,500,0.01048433
0.05427433,42.33162,61.95053,-0.8515339,69.07693,-0.6654313,59.77706,-0.9255849,469.3986,0.02707811
0.05618459,36.5116,49.15621,-0.4519883,36.65266,-0.3301932,9.635471,-0.1941606,500,0.08578774
0.1188412,41.91333,1147.539,-6.33947,5024.298,-21.31766,2172.032,-9.054416,500,0.04138075
0.2407427,48.28221,1036.604,-4.510466,1351.735,-4.530081,1134.435,-3.70849,500,0.03843554
0.2848447,40.27559,1063.173,-7.651133,3167.782,-16.67516,1516.804,-8.640867,500,0.01505516
0.1269882,37.49222,752.4831,-6.423095,942.4144,-5.208287,564.974,-3.904174,500,0.01675888
0.2399645,41.02163,436.7917,-4.6191,1138.498,-8.113574,633.1625,-4.955066,500,0.01753805
0.05304905,37.67839,23.31484,-0.2942104,22.02636,-0.2344406,-8.243493,0.09309307,500,0.02916115
0.05455149,35.15771,17.72957,-0.2887175,35.12908,-0.566705,11.79635,-0.266881,500,0.02437059
0.05044142,36.63213,5.620809,0.02323344,10.83558,-0.08907314,3.20245,-0.09125423,500,0.02209737
0.1601164,44.49894,565.23,-7.878808,3359.375,-25.75145,1305.886,-10.41472,500,0.01523244
0.05378993,49.84877,68.22971,-0.6703065,31.95845,-0.2871156,-35.45596,0.5899921,500,0.04458043
0.197447,46.57478,96.79306,-0.5780233,773.0198,-3.646176,666.3454,-3.372039,500,0.02654593
0.06196309,44.36957,6.801384,-0.2921901,15.88499,-0.1329573,21.52706,-0.3414301,500,0.01415497
0.1145197,38.66998,951.3359,-5.843085,2711.675,-12.26691,1324.708,-6.42264,500,0.02625755
0.05224967,37.26434,52.88428,-0.4475668,38.21439,-0.4170801,3.257305,-0.1243994,500,0.05689964
0.1717544,45.54197,737.1542,-5.34174,835.9516,-3.91738,856.78,-4.44549,500,0.04689745
0.06283478,40.78841,10.26478,-0.2918055,-0.3670236,-0.06396752,3.04072,-0.06058547,500,0.04306542
0.06160719,39.0475,19.29954,-0.2522535,-16.32993,0.005972404,-17.85404,0.1754645,500,0.03093503
0.07809116,44.92229,4076.676,-30.26341,5256.383,-22.08883,2686.988,-12.81935,500,0.01029091
0.2596902,38.24436,2002.034,-46.16981,923.6492,-10.69686,503.8788,-6.676981,500,0.03197987
0.1382551,74.04954,1368.654,-8.00507,5197.323,-24.13497,2322.489,-9.425919,500,0.04823577
0.1426254,40.71203,4286.996,-49.94422,3572.795,-24.84218,1423.135,-10.95394,500,0.02418874
0.264278,46.00161,3964.664,-23.6386,2333.71,-7.715301,1383.448,-5.343834,500,0.04254047
0.06306924,38.09284,37.09024,-0.5067785,22.56555,-0.3297106,6.100748,-0.04456908,500,0.03690787
0.05330265,44.51601,33.27966,-0.3364002,-31.15206,0.2672307,-17.78466,0.2018418,500,0.006919325
0.05280551,37.16121,26.07483,-0.312822,9.104605,-0.1055075,-31.31876,0.5315197,500,0.03092029
0.1600988,39.1761,1375.61,-31.86824,354.0004,-5.849254,256.5636,-4.936416,451.7712,0.020434
0.06349286,41.707,55.36174,-0.8056456,54.44826,-0.7344704,30.27617,-0.4610103,500,0.02584593
0.06457099,35.39795,34.32958,-0.4311934,33.4879,-0.3034805,26.17934,-0.3593327,500,0.02098229
0.06444719,37.45713,6.192478,-0.1512506,-28.87488,0.2759378,-17.38503,0.1918372,500,0.02392569
0.05046839,37.95206,27.20902,-0.3207664,35.00586,-0.3363576,38.85051,-0.4104898,500,0.01076256
0.121609,38.94599,362.11,-5.269978,982.1518,-8.866331,581.3185,-6.249581,500,0.03196147
0.1322984,64.02676,445.8352,-8.004777,1274.526,-15.90344,641.8747,-8.113339,500,0.0506738
0.2344913,53.73553,913.5361,-9.746435,2229.068,-17.4852,1087.688,-8.866838,500,0.02005281
0.1175316,37.59769,4705.315,-70.34769,1342.066,-9.84405,883.8357,-7.263531,500,0.01869195
0.0520518,38.44866,44.80594,-0.3141151,75.40821,-0.6175584,46.94862,-0.4850005,500,0.02022265
0.1206493,45.23747,343.5264,-6.998533,967.4325,-11.93238,479.8855,-6.23436,500,0.01723473
0.0666587,40.00223,35.26849,-0.2858871,12.96903,-0.1499407,12.3488,-0.1302534,500,0.01276868
0.2858998,39.5695,2211.76,-18.62582,2536.629,-11.2408,1216.535,-6.669644,500,0.01648002
0.05247626,38.40175,37.43734,-0.5402035,94.42793,-0.7017177,83.8341,-0.9498432,500,0.03350921
0.1051187,58.12148,646.8806,-14.89648,2409.637,-27.60482,1127.948,-13.37396,500,0.01900618
0.1637161,39.48344,2112.922,-24.81136,2766.563,-15.89823,1265.713,-8.839527,500,0.0166308
0.1918546,43.57358,330.3398,-3.613181,767.5447,-6.32075,494.2873,-4.444671,500,0.03961959
0.05186382,37.69472,21.98962,-0.3249097,46.99559,-0.4456516,57.77541,-0.8100427,500,0.01367551
0.2418267,44.44619,531.7098,-4.642698,655.4658,-3.992025,521.223,-3.425895,500,0.04276688
0.0661956,36.85639,38.52143,-0.5484881,32.94079,-0.4531893,24.21057,-0.6132738,500,0.1023146
0.2253893,37.82354,-35.37535,0.4553722,317.9666,-2.909817,352.0272,-3.282643,500,0.02670388
0.05209216,35.79347,26.182,-0.3141567,116.535,-0.9988101,113.1007,-1.372746,500,0.03632782
0.06168568,36.77557,61.21214,-0.5613758,44.48927,-0.3869972,33.65313,-0.4010318,500,0.007514635
0.05100999,38.73802,59.02945,-0.4592102,51.26057,-0.4272045,43.84315,-0.4577559,500,0.04346284
0.05135725,35.18037,70.35035,-0.4105095,4.462546,-0.03394263,-5.007751,0.08897451,500,0.02054169
0.2248686,42.46271,524.3704,-4.37827,4215.459,-21.6249,1771.277,-10.53031,500,0.02253275
0.07044509,39.41413,53.62342,-0.482601,-20.49752,0.2078495,-102.1519,0.9065353,500,0.02167209
0.06703619,47.34169,17.03178,-0.3146501,9.687269,-0.2016577,14.84454,-0.4165659,500,0.02934572
0.1773402,40.45856,6584.295,-50.16125,2174.339,-9.267194,1347.224,-6.443219,500,0.015641
0.0575438,41.09565,33.25818,-0.5384938,22.86394,-0.4046791,28.76628,-0.523927,500,0.02428407
0.2306872,35.42596,453.1424,-15.62968,1004.002,-16.43305,482.856,-8.139177,500,0.02773762
0.05348812,36.7301,16.42108,-0.4142477,-12.98563,0.1093621,-53.40952,0.5099838,500,0.02489367
0.05763333,35.64367,19.39426,-0.2672916,-7.919804,0.09850341,4.331646,0.07641326,500,0.03393245
0.08017637,47.70217,1637.148,-12.30785,2925.605,-12.63087,1454.904,-6.59675,500,0.06504875
0.1027759,44.92632,2502.272,-25.67009,3461.101,-22.34332,1471.97,-10.86124,500,0.01297909
0.2308216,35.2642,316.5716,-3.733603,969.6373,-7.999559,509.3384,-4.961278,500,0.04131947
0.07885244,46.30328,4883.344,-25.73394,8040.256,-20.80499,3266.457,-9.624524,500,0.01104522
0.2251655,36.77055,391.3485,-8.035759,1074.858,-12.56096,519.9,-6.907714,500,0.009952372
0.09967799,39.37139,14873.48,-189.9055,4169.275,-27.72459,2296.28,-18.0158,500,0.01186498
0.06307887,42.46489,40.0092,-0.5836904,39.52322,-0.5260484,25.05414,-0.4725533,500,0.04754315
0.1247753,35.67719,5038.458,-60.14673,2117.616,-13.20133,916.8344,-7.497892,500,0.02633778
0.129768,37.70703,4178.405,-51.05418,1777.444,-14.6751,873.4644,-8.164412,500,0.02729913
0.1228317,47.7192,2443.264,-20.16541,2732.305,-11.01267,1338.04,-6.273474,500,0.02732966
0.0664644,36.46403,21.47229,-0.4093852,20.85965,-0.3571355,18.05859,-0.3068936,500,0.01282344
0.06378573,35.4775,40.79314,-0.427323,38.14082,-0.3704851,50.4146,-0.7074643,500,0.02349023
0.05031559,45.39903,23.09386,-0.2145896,12.28783,-0.03092102,9.293491,-0.0776023,500,0.01903607
0.1397043,39.42975,518.7308,-10.26304,553.1812,-6.179073,369.8924,-4.878768,500,0.0433805
0.2543997,47.7855,6907.551,-43.59469,4576.92,-15.03455,2108.189,-8.156428,500,0.028514
0.2017623,40.05085,61.68134,-0.4542891,539.4926,-3.183425,424.5005,-2.930032,500,0.03747286
0.05376557,41.68623,31.03049,-0.3598774,8.342918,-0.0457054,-14.89767,0.2172978,500,0.03504299
0.05488811,35.89247,35.20956,-0.3316639,36.97847,-0.4625452,2.475616,-0.1514748,500,0.03704821
0.05198583,35.36831,40.99868,-0.319189,32.74929,-0.2413831,-11.13483,0.2672602,500,0.02963383
0.05584501,46.64406,19.82373,-0.3770796,25.58339,-0.3823562,13.24257,-0.2524038,500,0.0331967
0.05811804,38.77269,30.67048,-0.430864,36.84772,-0.4379579,31.61624,-0.5503155,500,0.01184179
0.06224259,37.91283,41.29363,-0.4425872,18.03467,-0.1961063,35.02753,-0.5457641,500,0.01479737
0.09495958,35.71018,379.3304,-11.15764,468.8044,-9.700706,283.5496,-5.631829,466.5177,0.03617373
0.05059979,42.86589,48.49316,-0.6711056,71.2141,-0.7466235,47.00879,-0.7940503,500,0.0461428
0.0597778,35.22571,56.92393,-0.5336509,35.91306,-0.3591314,32.78834,-0.4813553,500,0.01568531
0.0614777,40.13288,46.82426,-0.6170045,44.56004,-0.5627213,37.82521,-0.5966109,500,0.02805919
0.1933094,82.18042,20.48948,-0.2100406,523.0571,-3.19212,797.9016,-3.266931,492.4272,0.1242009
0.06062174,35.50044,24.75229,-0.3893389,6.356665,-0.1523006,43.33659,-0.9184699,500,0.03155204
0.1112474,42.54101,379.021,-12.14783,1109.689,-22.56711,585.86,-11.65674,500,0.0229581
0.05100438,40.48362,19.22207,-0.2018518,39.74822,-0.3664747,21.62636,-0.2036292,500,0.04467341
0.05387033,40.33707,54.12582,-0.3721606,49.93454,-0.3709791,31.09171,-0.3399729,498.1586,0.02537296
0.1207952,35.10575,734.7431,-14.3226,1886.237,-27.91396,896.2451,-12.00434,490.5797,0.04288088
0.06470897,43.98753,13.40904,-0.2000113,0.7176209,-0.05649709,8.017146,-0.1820484,500,0.04999544
0.05502596,39.15284,1215.503,-12.19428,3987.076,-23.61081,1858.835,-11.26149,500,0.01521724
0.1472984,40.82374,550.5377,-10.79614,873.853,-8.637259,514.1096,-6.382996,500,0.05242494
0.05708254,36.4471,51.71821,-0.4714663,27.26945,-0.2428704,20.06627,-0.3183252,500,0.02708664
0.1266571,45.1524,2219.116,-16.84348,2140.768,-8.841555,1161.785,-5.784413,500,0.05069542
0.08929483,40.09012,5258.064,-12.94457,9483.637,-21.56355,4790.24,-9.204815,500,0.4328821
0.05894792,35.8004,89.5265,-1.253272,92.86768,-0.8762947,76.4057,-0.9928051,500,0.03713184
0.08373255,39.97597,1228.472,-17.36642,1447.242,-10.21055,905.5444,-8.078292,500,0.02868657
0.06201788,53.15006,23.36788,-0.458827,21.97251,-0.2483293,33.60537,-0.5086417,468.9312,0.05555102
0.06871108,35.91421,4464.063,-43.07536,1617.351,-8.725917,988.4275,-6.243511,500,0.02711669
0.1347965,36.97502,692.6812,-5.466845,892.6796,-4.659881,750.463,-4.198096,500,0.01291334
0.2716148,36.92752,244.1208,-6.848554,944.9173,-15.74488,477.0703,-8.751025,500,0.01725316
0.07323702,37.1472,65.52161,-0.90818,61.31808,-0.5953308,44.06738,-0.5930035,500,0.01829139
0.05636991,41.04691,20.90961,-0.5195878,18.73257,-0.3569266,16.65329,-0.4909613,500,0.01267224
0.06127008,38.71922,35.63554,-0.3517728,-38.22802,0.3461278,-50.16036,0.5707234,500,0.01204395
0.07506416,35.90903,4715.926,-77.7935,3829.025,-31.01656,1666.83,-16.06247,500,0.01333245
0.05744962,40.53893,16.41445,-0.3455865,21.93393,-0.4409039,19.49812,-0.6561462,500,0.02300085
0.06557803,40.33702,17.03092,-0.2142605,-63.04873,0.3984125,-59.55437,0.4658511,479.9056,0.02245249
0.08180236,39.3395,486.0229,-9.703642,2499.298,-37.89765,1084.91,-15.68913,500,0.03082279
0.06078022,38.1157,41.1304,-0.5217549,22.32348,-0.2951777,13.87846,-0.1653867,500,0.04847138
0.05520906,39.56214,8.95847,-0.2059868,11.26082,-0.1702033,9.994534,-0.2331565,500,0.02759658
0.05564728,49.80186,52.12804,-0.6500512,36.36067,-0.2622188,8.354688,-0.09904563,500,0.03198527
0.190513,35.25434,236.8772,-2.173908,367.7924,-4.141082,361.988,-4.438263,500,0.02776245
0.05936958,38.50255,50.22141,-0.5439554,64.0114,-0.6262717,64.98826,-0.9397234,445.1938,0.01325422
0.1415131,45.42774,1692.576,-15.56735,4447.396,-15.2922,1995.165,-8.526052,500,0.08946528
0.06521195,47.39406,4260.281,-29.46022,2226.578,-11.93965,868.7341,-5.039667,500,0.0230756
0.09574385,37.91319,307.2195,-2.952414,640.7239,-4.365608,638.0308,-5.091088,500,0.0190759
0.08168268,39.11105,458.6283,-5.48113,1508.802,-12.61329,708.8468,-6.33282,500,0.01165435
0.05100756,36.44234,71.42719,-0.5637609,76.85601,-0.5936761,57.85275,-0.7813002,500,0.02598047
0.1058275,39.4706,928.6484,-10.67376,4298.79,-31.98537,1945.137,-14.1751,500,0.02938451
0.204809,40.06262,755.3818,-7.415027,2409.323,-16.9973,1124.563,-8.180568,500,0.02150116
0.1337497,41.87433,2310.751,-20.68782,3727.647,-19.79977,1729.409,-9.337962,500,0.02868453
0.05076645,44.89597,48.70022,-0.4394958,50.46987,-0.4699351,52.84549,-0.6982512,500,0.02436521
0.0515218,38.06483,4.809022,-0.0234276,-42.25198,0.583221,-32.6888,0.492862,500,0.01452183
0.051523,37.31248,33.25378,-0.3780859,37.60495,-0.4526071,39.17754,-0.5591152,500,0.02354283
0.09277964,35.38494,13.12464,-0.1981344,-29.44022,0.2257695,-62.15277,0.6636882,500,0.07677553
0.08377949,40.82379,544.0389,-8.590643,767.4379,-7.840153,462.054,-5.602401,500,0.02384765
0.1756542,44.55704,981.0342,-12.819,1434.56,-9.266861,820.0704,-6.360239,500,0.02661542
0.2688896,42.51795,1467.694,-18.77042,1217.897,-9.82467,622.2569,-5.581181,500,0.02380977
0.153836,46.83583,5399.232,-32.15296,4630.266,-13.55527,2533.496,-8.806407,500,0.03453428
0.06568477,35.39371,31.21606,-0.3973758,21.2979,-0.2575647,1.348889,-0.04624651,500,0.03171784
0.06576235,37.67295,18.78345,-0.2498947,-3.351188,-0.003036328,23.56079,-0.5605061,500,0.01285831
