,z,snmedian_g,oiii_5007_flux,oiii_5007_eqw,h_beta_flux,h_beta_eqw,h_gamma_flux,h_gamma_eqw,sigma_balmer,e_bv_sfd,oiii/hb,hb/hg,oiii/hg
61,0.05456431,43.4072,64.85787,-0.4098454,61.39754,-0.4420483,61.77549,-0.6242443,500.0,0.02247991,1.0563594241723693,0.9938818777479548,1.0498964880731825
62,0.05480479,39.35858,43.77386,-0.4562659,35.88597,-0.3188329,-2.72559,0.06313526,500.0,0.02486286,1.2198042856302895,-13.166312614883383,-16.060324553582895
63,0.1965366,52.8586,1147.471,-6.181537,4131.215,-18.49032,1683.841,-8.576478,500.0,0.02233633,0.27775630171753346,2.453447207901459,0.6814604229259177
64,0.2610683,45.10627,394.0584,-4.874403,1618.641,-14.25335,764.3887,-7.22492,500.0,0.02582617,0.24345015355474128,2.117562700756827,0.5155209646610422
65,0.2134592,37.89766,411.323,-5.145241,1652.594,-14.82997,848.5931,-8.607565,500.0,0.03172268,0.24889537297121977,1.9474516113788811,0.4847116951575495
66,0.1098744,46.37546,1613.432,-5.791482,1842.363,-5.147871,1516.804,-4.594011,500.0,0.0324995,0.8757405570997681,1.2146348506464908,1.0637050007779514
67,0.05330265,44.51601,33.27966,-0.3364002,-31.15206,0.2672307,-17.78466,0.2018418,500.0,0.006919325,-1.0682972490422784,1.7516252770646163,-1.8712564648410486
68,0.2418267,44.44619,531.7098,-4.642698,655.4658,-3.992025,521.223,-3.425895,500.0,0.04276688,0.8111938105695218,1.2575534847848233,1.020119603317582
69,0.153836,46.83583,5399.232,-32.15296,4630.266,-13.55527,2533.496,-8.806407,500.0,0.03453428,1.1660738281558771,1.8276192265549263,2.131138947920186
70,0.09969537,35.64167,514.6418,-6.332394,568.3914,-4.384429,499.6391,-4.456197,500.0,0.02095873,0.905435585408224,1.1376039225112686,1.0300270735416823
71,0.051523,37.31248,33.25378,-0.3780859,37.60495,-0.4526071,39.17754,-0.5591152,500.0,0.02354283,0.8842926263696667,0.9598599095297969,0.8487970403450548
72,0.05196881,37.71344,16.04282,-0.244225,23.66694,-0.3344702,32.00087,-0.4222881,500.0,0.02441659,0.6778578050225335,0.7395717678925604,0.5013244952402857
73,0.05207504,36.4759,60.32346,-0.6829518,78.65923,-0.8172466,30.21829,-0.5600677,500.0,0.0320962,0.7668961417496714,2.603033791786365,1.9962565717649807
74,0.09744303,43.59363,20.24574,-0.4385408,-14.65174,0.3385674,-38.68391,0.8176423,500.0,0.0224152,-1.3817976567970767,0.3787554050249833,-0.5233633311627497
75,0.07818574,35.85813,12.25824,-0.3038042,1.130156,-0.1083792,-0.1927552,-0.05048189,500.0,0.02662667,10.846502606719781,-5.8631673749917,-63.59486021648185
